dia,hora,partido,inf,sup,med
01,2050,AMLO,46.16,49.7,47.93
01,2050,JAMK,16.17,19.34,17.65
01,2050,JHRC,6.67,9.82,8.15
01,2050,PART,62.89,67.58,65.15
01,2050,RAC,21.86,25.07,23.42
01,2055,AMLO,46.64,50.08,48.36
01,2055,JAMK,16.07,19.13,17.49
01,2055,JHRC,6.53,9.6,7.97
01,2055,PART,62.71,67.15,64.84
01,2055,RAC,21.86,24.93,23.34
01,2100,AMLO,47.37,50.61,49
01,2100,JAMK,15.86,18.73,17.22
01,2100,JHRC,6.24,9.13,7.59
01,2100,PART,62.78,66.99,64.79
01,2100,RAC,21.92,24.87,23.33
01,2105,AMLO,48.13,51.15,49.64
01,2105,JAMK,15.72,18.34,16.95
01,2105,JHRC,6.13,8.76,7.35
01,2105,PART,62.59,66.49,64.46
01,2105,RAC,21.92,24.61,23.21
01,2110,AMLO,48.47,51.36,49.94
01,2110,JAMK,15.65,18.12,16.82
01,2110,JHRC,6.03,8.56,7.2
01,2110,PART,62.7,66.41,64.47
01,2110,RAC,22.01,24.55,23.23
01,2115,AMLO,49.05,51.73,50.41
01,2115,JAMK,15.61,17.92,16.69
01,2115,JHRC,5.89,8.22,6.96
01,2115,PART,62.6,66.04,64.26
01,2115,RAC,22,24.38,23.13
01,2120,AMLO,49.41,52,50.72
01,2120,JAMK,15.63,17.89,16.69
01,2120,JHRC,5.82,8.09,6.86
01,2120,PART,62.54,65.89,64.14
01,2120,RAC,21.82,24.13,22.91
01,2125,AMLO,50.06,52.35,51.23
01,2125,JAMK,15.62,17.62,16.55
01,2125,JHRC,5.73,7.71,6.63
01,2125,PART,62.53,65.47,63.95
01,2125,RAC,21.82,23.83,22.77
01,2130,AMLO,50.84,52.87,51.88
01,2130,JAMK,15.56,17.31,16.35
01,2130,JHRC,5.58,7.27,6.34
01,2130,PART,62.56,65.08,63.76
01,2130,RAC,21.76,23.54,22.59
01,2135,AMLO,51.32,53.12,52.23
01,2135,JAMK,15.62,17.19,16.34
01,2135,JHRC,5.49,6.95,6.14
01,2135,PART,62.72,64.95,63.78
01,2135,RAC,21.74,23.32,22.48
01,2140,AMLO,51.72,53.26,52.5
01,2140,JAMK,15.66,17.02,16.28
01,2140,JHRC,5.46,6.66,5.99
01,2140,PART,62.78,64.73,63.72
01,2140,RAC,21.76,23.1,22.39
01,2145,AMLO,51.84,53.32,52.6
01,2145,JAMK,15.59,16.88,16.19
01,2145,JHRC,5.43,6.59,5.94
01,2145,PART,62.73,64.58,63.63
01,2145,RAC,21.85,23.13,22.45
01,2150,AMLO,52.02,53.42,52.74
01,2150,JAMK,15.55,16.73,16.08
01,2150,JHRC,5.42,6.52,5.89
01,2150,PART,62.7,64.42,63.52
01,2150,RAC,21.87,23.1,22.46
01,2155,AMLO,52.17,53.51,52.86
01,2155,JAMK,15.54,16.68,16.04
01,2155,JHRC,5.41,6.47,5.85
01,2155,PART,62.66,64.33,63.46
01,2155,RAC,21.88,23.05,22.42
01,2200,AMLO,52.44,53.58,53.03
01,2200,JAMK,15.6,16.57,16.04
01,2200,JHRC,5.34,6.12,5.65
01,2200,PART,62.88,64.29,63.55
01,2200,RAC,21.96,22.95,22.43
01,2205,AMLO,52.48,53.57,53.04
01,2205,JAMK,15.61,16.51,16.02
01,2205,JHRC,5.34,6.04,5.61
01,2205,PART,62.87,64.21,63.51
01,2205,RAC,22.03,22.99,22.48
01,2210,AMLO,52.74,53.66,53.21
01,2210,JAMK,15.64,16.45,16.01
01,2210,JHRC,5.31,5.84,5.52
01,2210,PART,62.97,64.09,63.51
01,2210,RAC,22.04,22.85,22.42
01,2215,AMLO,52.79,53.66,53.23
01,2215,JAMK,15.68,16.46,16.04
01,2215,JHRC,5.31,5.79,5.49
01,2215,PART,63,64.1,63.53
01,2215,RAC,22.04,22.8,22.41
01,2220,AMLO,52.78,53.63,53.22
